image:p10_0036_3.jpg, predicted:50.00, true:55.45
image:p4_0208_6.jpg, predicted:24.44, true:27.69
image:p4_0213_2.jpg, predicted:33.33, true:47.73
image:p5_0095_3.jpg, predicted:43.33, true:15.14
image:p5_0096_5.jpg, predicted:52.00, true:23.11
image:p5_0117_10.jpg, predicted:52.00, true:19.88
image:p5_0120_2.jpg, predicted:52.00, true:27.19
image:p5_0123_1.jpg, predicted:55.71, true:34.04
image:p5_0123_11.jpg, predicted:51.00, true:3.70
image:p5_0124_5.jpg, predicted:46.21, true:24.18
image:p5_0140_3.jpg, predicted:28.00, true:12.93
image:p5_0169_5.jpg, predicted:25.00, true:13.48
image:p5_0180_2.jpg, predicted:52.00, true:28.64
image:p5_0187_7.jpg, predicted:46.21, true:19.53
image:p5_0188_1.jpg, predicted:51.32, true:13.22
image:p5_0189_5.jpg, predicted:10.00, true:7.29
image:p5_0190_5.jpg, predicted:59.00, true:48.73
image:p5_0221_9.jpg, predicted:10.00, true:3.72
image:p5_0222_9.jpg, predicted:37.14, true:16.67
image:p5_0239_8.jpg, predicted:52.00, true:44.62
image:p5_0245_10.jpg, predicted:46.21, true:25.78
image:p5_0246_7.jpg, predicted:51.32, true:36.02
image:p5_0260_11.jpg, predicted:80.82, true:72.73
image:p5_0274_11.jpg, predicted:59.00, true:58.86
image:p5_0280_11.jpg, predicted:76.99, true:65.36
image:p5_0282_4.jpg, predicted:18.00, true:4.97
image:p5_0296_8.jpg, predicted:51.54, true:48.05
image:p5_0298_5.jpg, predicted:52.00, true:42.07
image:p6_0011_10.jpg, predicted:80.82, true:78.80
image:p6_0011_11.jpg, predicted:83.50, true:75.80
image:p6_0011_5.jpg, predicted:52.00, true:72.41
image:p6_0013_5.jpg, predicted:71.52, true:94.12
image:p6_0015_10.jpg, predicted:64.44, true:89.16
image:p6_0015_5.jpg, predicted:46.21, true:95.74
image:p6_0018_11.jpg, predicted:52.00, true:48.32
image:p6_0018_5.jpg, predicted:75.00, true:84.27
image:p6_0020_2.jpg, predicted:36.22, true:78.69
image:p6_0020_3.jpg, predicted:75.91, true:85.14
image:p6_0023_10.jpg, predicted:75.00, true:82.17
image:p6_0023_7.jpg, predicted:81.38, true:85.27
image:p6_0028_9.jpg, predicted:52.00, true:59.46
image:p6_0029_3.jpg, predicted:71.52, true:84.43
image:p6_0029_6.jpg, predicted:30.71, true:25.00
image:p6_0030_11.jpg, predicted:71.52, true:83.33
image:p6_0030_6.jpg, predicted:88.89, true:90.43
image:p6_0031_9.jpg, predicted:80.82, true:96.70
image:p6_0032_1.jpg, predicted:20.29, true:0.00
image:p6_0304_9.jpg, predicted:60.00, true:59.03
image:p6_0311_5.jpg, predicted:59.00, true:50.52
image:p7_0046_11.jpg, predicted:60.00, true:70.83
image:p7_0047_5.jpg, predicted:37.60, true:82.69
image:p7_0047_6.jpg, predicted:85.51, true:92.65
image:p7_0048_2.jpg, predicted:33.33, true:0.00
image:p7_0048_3.jpg, predicted:32.50, true:77.08
image:p7_0048_7.jpg, predicted:60.00, true:100.00
image:p7_0050_10.jpg, predicted:66.10, true:77.55
image:p7_0050_12.jpg, predicted:68.42, true:86.67
image:p7_0050_2.jpg, predicted:39.00, true:85.71
image:p7_0050_6.jpg, predicted:40.21, true:100.00
image:p7_0050_7.jpg, predicted:51.00, true:94.92
image:p7_0050_8.jpg, predicted:100.00, true:96.97
image:p7_0051_3.jpg, predicted:71.83, true:100.00
image:p7_0052_3.jpg, predicted:65.00, true:70.83
image:p7_0052_6.jpg, predicted:31.11, true:65.85
image:p7_0052_8.jpg, predicted:60.00, true:91.67
image:p7_0053_3.jpg, predicted:65.12, true:70.37
image:p7_0054_6.jpg, predicted:65.38, true:80.95
image:p7_0055_6.jpg, predicted:78.00, true:79.07
image:p7_0056_10.jpg, predicted:51.00, true:86.67
image:p7_0061_12.jpg, predicted:31.11, true:60.00
image:p7_0061_8.jpg, predicted:35.45, true:67.74
image:p7_0062_10.jpg, predicted:38.36, true:55.56
image:p7_0063_10.jpg, predicted:31.11, true:85.71
image:p7_0065_11.jpg, predicted:33.33, true:58.06
image:p7_0065_12.jpg, predicted:38.36, true:57.14
image:p7_0067_6.jpg, predicted:51.00, true:86.84
image:p7_37_10.jpg, predicted:39.00, true:47.62
image:p7_40_12.jpg, predicted:59.09, true:60.61
image:p8_0040_1.jpg, predicted:55.71, true:66.67
image:p8_0040_11.jpg, predicted:42.86, true:45.95
image:p8_0040_5.jpg, predicted:51.54, true:58.62
image:p8_0040_6.jpg, predicted:31.11, true:39.02
image:p8_0040_7.jpg, predicted:40.00, true:38.00
image:p8_0045_10.jpg, predicted:51.00, true:63.04
image:p8_0045_2.jpg, predicted:52.00, true:44.12
image:p8_0050_2.jpg, predicted:31.11, true:15.00
image:p8_0050_3.jpg, predicted:30.00, true:0.00
image:p8_0054_11.jpg, predicted:46.21, true:39.24
image:p8_0054_7.jpg, predicted:40.00, true:26.32
image:p8_0055_2.jpg, predicted:31.11, true:58.06
image:p9_0202_11.jpg, predicted:14.29, true:10.26
image:p9_0203_5.jpg, predicted:38.00, true:0.00
image:p9_0203_6.jpg, predicted:28.00, true:24.14
image:p9_0203_7.jpg, predicted:22.50, true:18.75
image:p9_0205_5.jpg, predicted:18.75, true:8.57
image:p9_0205_6.jpg, predicted:29.47, true:19.15
image:p9_0210_1.jpg, predicted:31.11, true:44.12
image:p9_0211_7.jpg, predicted:26.87, true:30.00
image:p9_0213_3.jpg, predicted:28.00, true:29.58
image:p9_0214_10.jpg, predicted:22.00, true:16.67
image:p9_0215_6.jpg, predicted:13.33, true:46.67
image:p9_0216_10.jpg, predicted:22.00, true:24.32
image:p9_0217_11.jpg, predicted:39.13, true:16.67
image:p9_0219_9.jpg, predicted:38.36, true:28.12
image:p9_0221_3.jpg, predicted:20.00, true:62.50
image:p9_0221_9.jpg, predicted:22.50, true:28.57
image:p9_0222_1.jpg, predicted:31.11, true:38.10
image:p9_0222_10.jpg, predicted:20.00, true:17.86
image:p9_0222_5.jpg, predicted:30.00, true:45.45
image:p9_0222_6.jpg, predicted:33.33, true:26.25
image:p9_0227_11.jpg, predicted:22.50, true:8.70
image:p9_0228_3.jpg, predicted:28.00, true:50.00
image:p9_0229_3.jpg, predicted:20.00, true:0.00
image:p9_0229_7.jpg, predicted:24.00, true:46.15
image:p9_0230_7.jpg, predicted:22.50, true:13.73
image:p9_0231_3.jpg, predicted:24.35, true:2.50
image:p9_0233_11.jpg, predicted:28.00, true:7.69
image:p9_0235_9.jpg, predicted:29.47, true:17.24
image:p9_0238_5.jpg, predicted:24.44, true:16.67
image:p9_0245_6.jpg, predicted:38.36, true:20.51
image:p10_0035_9.jpg, predicted:100.00, true:33.33
image:p10_0050_6.jpg, predicted:100.00, true:50.00
image:p10_0094_1.jpg, predicted:60.00, true:80.00
image:p11_0059_1.jpg, predicted:56.25, true:55.81
image:p11_0116_11.jpg, predicted:35.00, true:63.41
image:p11_0121_3.jpg, predicted:0.00, true:63.81
image:p12_0130_10.jpg, predicted:100.00, true:0.00
image:p12_0130_11.jpg, predicted:25.00, true:30.00
image:p12_0168_11.jpg, predicted:0.00, true:0.00
image:p13_0081_10.jpg, predicted:15.00, true:0.00
image:p14_0018_7.jpg, predicted:20.00, true:0.00
image:p14_0028_7.jpg, predicted:0.00, true:0.00
image:p14_0032_2.jpg, predicted:25.00, true:0.00
image:p14_0053_9.jpg, predicted:28.00, true:0.00
image:p14_0062_10.jpg, predicted:28.00, true:1.47
image:p14_0063_2.jpg, predicted:0.00, true:0.00
image:p14_0064_9.jpg, predicted:15.00, true:0.00
image:p14_0065_5.jpg, predicted:0.00, true:20.34
image:p14_0086_3.jpg, predicted:0.00, true:0.00
image:p14_0087_8.jpg, predicted:2.50, true:0.00
image:p15_0027_9.jpg, predicted:12.00, true:27.27
image:p15_0028_1.jpg, predicted:25.00, true:10.00
image:p16_0345_6.jpg, predicted:35.00, true:31.03
image:p16_0366_10.jpg, predicted:28.00, true:6.67
image:p16_0373_11.jpg, predicted:30.00, true:21.88
image:p17_0211_2.jpg, predicted:41.67, true:35.90
image:p18_0036_11.jpg, predicted:35.00, true:24.24
image:p19_0115_5.jpg, predicted:0.00, true:0.00
image:p19_0117_1.jpg, predicted:25.00, true:0.00
image:p19_0121_1.jpg, predicted:13.04, true:0.00
image:p1_0309_3.jpg, predicted:0.00, true:2.47
image:p1_0310_8.jpg, predicted:22.00, true:0.00
image:p1_0313_5.jpg, predicted:1.96, true:1.82
image:p1_0318_1.jpg, predicted:13.04, true:36.36
image:p20_0174_7.jpg, predicted:48.15, true:27.35
image:p21_0257_3.jpg, predicted:20.74, true:77.78
image:p21_0259_5.jpg, predicted:0.00, true:100.00
image:p21_0271_6.jpg, predicted:30.00, true:90.00
image:p22_0005_10.jpg, predicted:31.11, true:78.72
image:p22_0009_10.jpg, predicted:25.00, true:45.71
image:p22_0020_5.jpg, predicted:23.08, true:66.67
image:p22_0028_9.jpg, predicted:0.00, true:0.00
image:p2_0221_1.jpg, predicted:16.67, true:2.56
image:p2_0225_6.jpg, predicted:14.29, true:15.09
image:p2_0227_11.jpg, predicted:14.29, true:11.43
image:p2_0229_7.jpg, predicted:25.00, true:19.72
image:p2_0295_8.jpg, predicted:15.00, true:27.27
image:p2_0306_10.jpg, predicted:25.00, true:3.03
image:p3_0220_9.jpg, predicted:16.67, true:6.06
image:p3_0227_2.jpg, predicted:28.00, true:12.33
image:p3_0242_1.jpg, predicted:0.00, true:0.00
image:p3_0242_10.jpg, predicted:0.00, true:7.14
image:p3_0243_10.jpg, predicted:25.00, true:8.00
image:p3_0243_9.jpg, predicted:10.00, true:6.52
image:p3_0258_3.jpg, predicted:30.97, true:35.29
image:p3_0259_9.jpg, predicted:0.00, true:0.00
image:p3_0260_1.jpg, predicted:0.00, true:0.00
image:p3_0264_1.jpg, predicted:0.00, true:0.00
image:p3_0264_3.jpg, predicted:0.00, true:0.00
image:p3_0264_6.jpg, predicted:11.11, true:0.00
image:p3_0270_7.jpg, predicted:15.00, true:12.50
image:p3_0273_3.jpg, predicted:28.00, true:0.00
image:p3_0280_2.jpg, predicted:24.44, true:22.22
image:p5_0143_11.jpg, predicted:37.50, true:19.81
image:p5_0204_11.jpg, predicted:1.82, true:0.00
image:p6_0009_7.jpg, predicted:88.24, true:76.61
image:p6_0015_3.jpg, predicted:70.00, true:97.10
image:p6_0016_5.jpg, predicted:0.00, true:68.71
image:p6_0030_3.jpg, predicted:83.33, true:89.92
image:p6_0030_7.jpg, predicted:82.14, true:84.67
image:p7_0055_11.jpg, predicted:58.33, true:85.00
image:p7_0057_11.jpg, predicted:35.00, true:79.59
image:p7_0058_8.jpg, predicted:36.27, true:90.91
image:p8_0043_7.jpg, predicted:25.00, true:36.36
image:p8_0049_6.jpg, predicted:0.00, true:0.00
image:p8_0049_9.jpg, predicted:100.00, true:0.00
image:p8_0050_1.jpg, predicted:30.00, true:0.00
image:p8_0050_5.jpg, predicted:100.00, true:0.00
image:p8_0051_1.jpg, predicted:37.50, true:0.00
image:p9_0213_5.jpg, predicted:16.67, true:10.34
image:p9_0230_10.jpg, predicted:6.98, true:7.14
image:p9_0243_1.jpg, predicted:16.67, true:17.39
